expression,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time,result,memory,time,gc,source,file name,size
"iget(basename(file_name), basename(file_name), overwrite = TRUE)",169.19ms,246.94ms,4.262897594836684,  1.12MB,1.420965864945561,3,1,703.75ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,git_commits,4923026
"iput(file_name, basename(file_name), overwrite = TRUE)",136.23ms,143.43ms,5.664320451735655,  7.24MB,1.8881068172452184,3,1,529.63ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,git_commits,4923026
"iget(basename(file_name), basename(file_name), overwrite = TRUE)", 21.67ms, 29.74ms,27.497594161811225,  1.1MB,7.856455474803208,14,4,509.13ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,git_repos,1943
"iput(file_name, basename(file_name), overwrite = TRUE)", 47.99ms, 66.13ms,13.907018446410882,  2.17MB,5.960150762747521,7,3,503.34ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,git_repos,1943
"iget(basename(file_name), basename(file_name), overwrite = TRUE)",308.76ms,322.82ms,3.0977321928746004,  1.1MB,0,2,0,645.63ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,irods_commits,6516258
"iput(file_name, basename(file_name), overwrite = TRUE)",156.57ms,163.34ms,5.689344959791023,  8.38MB,1.896448319930341,3,1,527.3ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,irods_commits,6516258
"iget(basename(file_name), basename(file_name), overwrite = TRUE)",102.71ms,133.73ms,7.150905678288757,  1.1MB,1.7877264195721891,4,1,559.37ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,irods_repos,46325
"iput(file_name, basename(file_name), overwrite = TRUE)", 45.19ms, 84.1ms,11.258359995733105,  2.21MB,5.629179997866553,6,3,532.94ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,irods_repos,46325
"iget(basename(file_name), basename(file_name), overwrite = TRUE)",430.02ms,453.69ms,2.204139068678323,  1.1MB,0,2,0,907.38ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,nodejs_commits,9690453
"iput(file_name, basename(file_name), overwrite = TRUE)",  3.11s,  3.11s,0.3219858445477289,752.86MB,1.6099292227386444,1,5,  3.11s,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,nodejs_commits,9690453
"iget(basename(file_name), basename(file_name), overwrite = TRUE)", 83.1ms, 89.46ms,9.783681884441922,  1.1MB,0,5,0,511.06ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,nodejs_repos,54597
"iput(file_name, basename(file_name), overwrite = TRUE)", 63.9ms, 85.08ms,10.702028853482112,  2.22MB,1.7836714755803518,6,1,560.64ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,nodejs_repos,54597
"iget(basename(file_name), basename(file_name), overwrite = TRUE)",136.87ms,170.67ms,5.594881141999308,  1.1MB,1.398720285499827,4,1,714.94ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,tidy_commits,2883850
"iput(file_name, basename(file_name), overwrite = TRUE)",141.93ms,192.69ms,5.3012240518741045,  4.92MB,0,3,0,565.91ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,tidy_commits,2883850
"iget(basename(file_name), basename(file_name), overwrite = TRUE)", 93.31ms,118.33ms,8.364686801018406,  1.1MB,1.6729373602036814,5,1,597.75ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,tidyverse_repos,10745
"iput(file_name, basename(file_name), overwrite = TRUE)", 42.13ms, 77.58ms,13.032502419459258,  2.18MB,1.8617860599227511,7,1,537.12ms,,,,,/home/nicola/Documents/work/products/rirods_0.2.0,tidyverse_repos,10745
